,"Unstimulated, P4HA3 #2 siRNA vs Unstimulated, Control siRNA(A549_48h)","TGF-É¿, P4HA3 #2 siRNA  vs TGF-É¿, Control siRNA(A549_48h)"
Compound name,ratio,ratio
1-Methylnicotinamide,0.450690032,0.328567474
2AB,0.591358802,1.107817826
2-Hydroxyglutarate,1.025563169,1.082092
2-Oxoglutarate,0.70255385,0.830373721
3-Aminoisobutyrate,NA,NA
3-Hydroxy-3-methylglutarate,1.136387394,1.685222844
3-Methylhistidine,0.56618133,0.986035608
3PG,0.782283111,1.039760664
4-Acetylbutyrate,1.673178371,1.231520786
5-Aminolevulinate,NA,0.619336425
5-Aminovalerate,NA,NA
5-Methylthioadenosine,0.461252985,0.860227235
5-Oxoproline,0.636791885,0.917279472
Acetylcholine,NA,NA
Adenine,0.739961962,1.315460508
Adenosine,NA,NA
Adipate,0.946852552,1.187718733
ADMA,NA,NA
ADP,0.748893993,1.400628657
AICAR,NA,NA
Ala,0.676875693,1.200538527
alpha-Aminoadipate,0.543202119,0.793917044
AMP,1.096870298,2.057854381
Arg,0.55431084,0.614073921
Argininosuccinate,0.44434602,0.629566449
Asn,0.566737258,1.139430814
Asp,0.701028615,0.430899482
ATP,0.624295602,1.761596516
Azelate,0.932494559,1.812060879
beta-Ala,0.397295044,1.130424929
Betaine,0.957851135,1.424943949
Betaine aldehyde,NA,1.079602588
Carbamoylaspartate,0.516758927,0.82377398
Carnitine,0.332123536,0.550837446
Carnosine,0.90430991,0.892876016
Choline,1.314537623,1.57151066
cis-Aconitate,0.710254268,1.212242056
Citrate,0.832987954,1.161883773
Citrulline,0.467495996,0.753024806
CMP,NA,2.050984246
CMP-N-acetylneuraminate,0.932917445,1.955150648
Creatine,0.683362823,1.473617977
Creatinine,0.671018234,0.802789048
CTP,0.572722901,1.45743085
Cys,0.371583255,0.113444446
Cystathionine,0.522824038,0.82327167
Cysteine-glutathione disulphide,0.242215084,0.972368885
Cystine,NA,NA
DHAP,0.874010667,1.733865536
Diethanolamine,0.628412159,1.869500736
Dodecanedioate,NA,NA
Dodecanoate,0.957593041,0.83368845
dTTP,0.870484026,NA
Ethanolamine phosphate,3.627558544,3.98591791
"F1,6P",0.604271653,2.341735969
F6P,1.453576209,1.267447241
Fumarate,0.783314654,1.163786743
G1P,0.788154928,2.499920909
G6P,1.199206101,3.289519424
GABA,0.687772934,2.032767547
gamma-Butyrobetaine,0.555511155,0.929269303
gamma-Glu-cys,1.478163463,8.627496134
gamma-Guanidinobutyrate,0.437820871,0.928724391
GDP,1.081362871,NA
Gln,0.639025132,1.127997666
Glu,0.611096658,0.609209168
Gluconate,NA,NA
Glucosamine,NA,NA
Glu-Glu,0.91831122,1.229890987
Glutarate,0.534432832,1.035888252
Glutathione(ox),0.525541149,1.710901969
Glutathione(red),0.991803464,1.943063492
Gly,0.533046345,0.911138158
Glycerophosphate,3.650586918,3.714015704
Glycerophosphorylcholine,24.27649045,4.873189363
Gly-Gly,0.693453838,1.423924232
GTP,0.854354315,1.89850757
Hexanoate,NA,1.328560692
His,0.643620592,1.05780902
Homoserine,0.729671445,1.44724835
Hydroxyproline,0.524554025,1.115393025
Hypotaurine,0.674812582,1.235440215
Ile,0.599192534,0.939378185
Indole-3-acetate,1.070544947,1.507616463
Isocitrate,0.704817166,1.13158348
Lactate,0.580956633,0.781486442
Leu,0.635717823,0.973422597
Lys,0.870608053,0.867058187
Malate,0.750032597,0.931230911
Malonate,NA,NA
Met,0.691621705,1.095085828
Methionine sulfoxide,0.849337418,1.073022697
"N,N-Dimethylglycine",0.842358249,1.204907067
"N1,N8-Diacetylspermidine",0.601202709,0.729055772
N1-Acetylspermidine,0.210906338,1.118127233
"N6,N6,N6-Trimethyllysine",0.756790941,1.057233938
N8-Acetylspermidine,0.75479163,1.7467339
N-Acetylaspartate,0.546308241,0.81262
N-Acetylglucosamine,NA,NA
N-Acetylglucosamine 1-phosphate,1.513999401,1.748350207
N-Acetylglucosamine 6-phosphate,NA,NA
N-Acetylglutamate,0.290307123,0.787789621
N-Acetylmethionine,NA,NA
N-Acetylputrescine,1.819635812,2.000456328
NAD+,0.685020593,1.145759365
NADH,0.614134045,1.576732828
NADP+,0.874202418,NA
NADPH,0.621575839,1.65506471
Nicotinamide,0.612717497,1.275711611
o-Acetylcarnitine,0.811196887,1.349454744
Ophthalmate,2.167454001,NA
Ornithine,0.830839161,1.276549549
p-Aminobenzoate,NA,NA
Pantothenate,NA,0.369720591
Pelargonate,0.786478198,1.217427007
Phe,0.664263526,1.034420011
Phosphorylcholine,0.246473209,0.344928049
Phthalate,0.884842071,1.555988702
Pimelate,NA,NA
Pro,0.478242344,0.894119421
PRPP,NA,NA
"Putrescine(1,4-Butanediamine)",0.617925834,3.508084815
Pyridoxal,0.818651536,0.931124383
Pyridoxamine 5'-phosphate,1.029147073,1.113040534
Pyridoxine,0.645444572,0.65905778
R5P,NA,NA
Ru5P,0.677981426,1.284009468
SAH,0.41105231,NA
SAM+,0.609563064,1.544393209
Sarcosine,0.479194243,0.995505994
Sebacate,NA,NA
Ser,0.776663682,1.3491706
S-Lactoylglutathione,1.220165477,3.354841662
