,A549/shP4HA3#1 vs A549/shLacZ,A549/shP4HA3#2 vs A549/shLacZ,A549/shP4HA3#1 vs A549/shP4HA3#2
Compound name,ratio,ratio,ratio
1-Methylhistamine,2.0477887,1.9285179,1.0618458
1-Methylnicotinamide,0.7094362,1.0476694,0.6771565
2-Deoxyglucose 6-phosphate,0.9633840,0.8782148,1.0969799
2-Deoxyribose 1-phosphate,1.6266898,1.0467978,1.5539675
2-Hydroxybutyrate,1.3798677,0.7361169,1.8745225
2-Hydroxyglutarate,0.8031406,0.7034460,1.1417233
2-Hydroxyisobutyrate,0.8580647,0.6276046,1.3672058
2-Oxoisopentanoate,0.9797990,1.2774649,0.7669870
"2,3-DPG",0.3004632,0.2419453,1.2418642
2'-Deoxycytidine,2.2422694,1.5880310,1.4119809
"2',3'-cCMP",0.6812243,0.6278421,1.0850248
2AB,0.8030067,1.1389957,0.7050129
2PG,0.3105008,0.1795360,1.7294624
3-Hydroxy-3-methylglutarate,0.7359527,1.0743941,0.6849932
3-Hydroxybutyrate,1.0576416,0.3470035,3.0479277
3-Methylhistidine,0.5511191,0.4767510,1.1559894
3PG,0.2726644,0.1213269,2.2473528
4-Acetylbutyrate,0.9726666,1.0058792,0.9669816
4-Methyl-2-oxopentanoate,1.4051624,0.8455083,1.6619144
4-Oxopentanoate,0.8580382,0.8673715,0.9892396
5-Hydroxylysine,0.7600254,1.2735384,0.5967825
5-Oxoproline,0.8365581,0.6636954,1.2604549
6-Phosphogluconate,0.5863306,0.4392503,1.3348440
Acetyl CoA,0.5614199,0.3988481,1.4076032
Adenine,0.4551704,0.5156501,0.8827117
Adenosine,0.9226599,0.9831208,0.9385011
"Adenosine 3',5'-diphosphate",0.5450894,0.6341801,0.8595182
Adenylosuccinate,0.4262170,1.0669691,0.3994651
ADMA,0.8813153,0.9044789,0.9743901
ADP,0.2357592,0.2128827,1.1074603
ADP-glucose,0.4694428,0.5750149,0.8164011
ADP-ribose,0.8512826,0.9444256,0.9013760
Ala,0.5559752,0.7738729,0.7184322
alpha-Aminoadipate,0.5579212,1.4285759,0.3905436
AMP,0.5392464,0.7678912,0.7022433
Anserine,0.4310297,0.3262034,1.3213528
Arg,0.7087098,0.9682824,0.7319246
Argininosuccinate,0.5938330,0.8892550,0.6677870
Asn,1.0865608,1.1193538,0.9707036
Asp,0.5840659,1.0858643,0.5378812
ATP,0.1227500,0.0682428,1.7987250
Azelate,0.9005511,1.2549686,0.7175885
beta-Ala,0.4863919,0.6949521,0.6998927
beta-Ala-Lys,1.9540082,0.6506546,3.0031419
Betaine,1.0262251,1.1619002,0.8832300
Carbamoylaspartate,0.9036040,1.0710122,0.8436917
Carnitine,0.3513133,0.6713175,0.5233192
Carnosine,0.4087417,0.3244610,1.2597561
CDP,0.2063612,0.1180711,1.7477708
CDP-choline,0.4360761,0.7587000,0.5747675
Choline,0.9396328,1.7193786,0.5464956
cis-Aconitate,0.7270583,0.6743051,1.0782334
Citrate,0.5819229,0.4977094,1.1692021
Citrulline,1.7780898,1.5035679,1.1825804
CMP,0.4300861,0.5322130,0.8081091
CMP-N-acetylneuraminate,0.4293181,0.3549202,1.2096189
Creatine,0.4712728,0.4831322,0.9754530
Creatinine,0.7411765,0.6678730,1.1097566
CTP,0.3074765,0.1437048,2.1396398
Cystathionine,0.4762473,0.4978919,0.9565275
Cysteine-glutathione disulphide,0.8375065,0.7666483,1.0924258
Cytidine,1.1340688,2.9600994,0.3831185
DHAP,1.2176878,1.4039004,0.8673605
Diethanolamine,1.5789994,2.7498993,0.5742026
Dodecanoate,1.0272139,1.1581917,0.8869119
dTMP,1.2236339,0.7496539,1.6322651
Ethanolamine phosphate,0.4308723,0.6696880,0.6433926
"F1,6P",0.3841511,0.3541415,1.0847390
F6P,0.5471190,0.5654495,0.9675824
Fumarate,0.4497977,0.4920804,0.9140735
G1P,0.2615482,0.1664910,1.5709452
G6P,0.4698212,0.4216506,1.1142428
GABA,0.8361731,11.2201622,0.0745242
gamma-Butyrobetaine,0.5234933,0.8494981,0.6162383
GDP,0.3628432,0.4169975,0.8701329
GDP-mannose,0.4130435,0.4326806,0.9546153
