,MSTO-211H_Drug 1 vs MSTO-211H_Control 1,MSTO-211H_R_Control 2 vs MSTO-211H_Control 1,MSTO-211H_R_Drug 2 vs MSTO-211H_Control 1,TCC-MESO-2_Control 3 vs MSTO-211H_Control 1,TCC-MESO-2_Drug 3 vs MSTO-211H_Control 1,TCC-MESO-2_R_Control 4 vs MSTO-211H_Control 1,TCC-MESO-2_R_Drug 4 vs MSTO-211H_Control 1,MSTO-211H_Drug 1 vs MSTO-211H_R_Control 2,MSTO-211H_R_Drug 2 vs MSTO-211H_Drug 1,MSTO-211H_Drug 1 vs TCC-MESO-2_Control 3,TCC-MESO-2_Drug 3 vs MSTO-211H_Drug 1,MSTO-211H_Drug 1 vs TCC-MESO-2_R_Control 4,TCC-MESO-2_R_Drug 4 vs MSTO-211H_Drug 1,MSTO-211H_R_Drug 2 vs MSTO-211H_R_Control 2,MSTO-211H_R_Control 2 vs TCC-MESO-2_Control 3,TCC-MESO-2_Drug 3 vs MSTO-211H_R_Control 2,TCC-MESO-2_R_Control 4 vs MSTO-211H_R_Control 2,TCC-MESO-2_R_Drug 4 vs MSTO-211H_R_Control 2,MSTO-211H_R_Drug 2 vs TCC-MESO-2_Control 3,MSTO-211H_R_Drug 2 vs TCC-MESO-2_Drug 3,MSTO-211H_R_Drug 2 vs TCC-MESO-2_R_Control 4,MSTO-211H_R_Drug 2 vs TCC-MESO-2_R_Drug 4,TCC-MESO-2_Drug 3 vs TCC-MESO-2_Control 3,TCC-MESO-2_R_Control 4 vs TCC-MESO-2_Control 3,TCC-MESO-2_R_Drug 4 vs TCC-MESO-2_Control 3,TCC-MESO-2_Drug 3 vs TCC-MESO-2_R_Control 4,TCC-MESO-2_Drug 3 vs TCC-MESO-2_R_Drug 4,TCC-MESO-2_R_Drug 4 vs TCC-MESO-2_R_Control 4
Compound Name,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio
Glucose,0.051887484,0.068192029,0.045017997,0.038956084,0.048258292,0.077203876,0.093317457,0.760902479,0.867608016,1.331948139,1.075203501,0.672083924,1.798457923,0.66016509,1.750484688,0.707682293,1.132153965,1.368451093,1.155608882,0.932855176,0.5831054,0.482417745,1.238787019,1.981818181,2.395452685,0.625076019,0.517141093,1.208714658
G1P,0.758237197,0.774131939,0.747138634,1.124080807,1.198432592,0.776306313,0.912752753,0.979467657,0.985362677,0.67453976,0.632690735,0.976724245,1.203782611,0.965130873,0.688679973,1.548098627,1.002808789,1.179066134,0.664666303,0.623429836,0.962427617,0.818555334,1.06614452,0.69061433,0.811999233,1.543762523,1.312987102,1.175763662
G6P,0.24790005,0.243554434,0.198920917,0.597766926,0.644316147,0.342416769,0.398779408,1.017842483,0.802423868,0.414710214,0.384749088,0.723971699,1.6086298,0.816741102,0.407440464,2.645470814,1.40591474,1.63733175,0.332773374,0.308731851,0.580932171,0.498824445,1.077871857,0.572826554,0.667115209,1.881672294,1.615720708,1.16460245
F6P,NA,0.513369231,0.735530088,0.924569809,1.036163506,0.702073834,0.962112746,NA,NA,NA,NA,NA,NA,1.432750628,0.555251995,2.018359192,1.367580664,1.87411455,0.795537645,0.709859094,1.04765347,0.764494693,1.120697968,0.759351892,1.040605843,1.475861165,1.076966822,1.370386844
"F1,6P",0.459145554,0.350981841,0.482754874,1.392072649,1.73905234,0.910162336,0.750968227,1.308174669,1.051420123,0.32982873,0.264020549,0.504465561,1.635577696,1.37544117,0.252128969,4.954821406,2.593189245,2.13962131,0.346788564,0.277596518,0.530405242,0.642843275,1.249254011,0.65381813,0.539460514,1.910705674,2.315746895,0.825092621
DHAP,0.363556735,0.252798383,0.130908085,1.410466345,2.086822326,1.000813201,1.224147711,1.438129193,0.360076083,0.257756405,0.174215471,0.36326133,3.367143543,0.517835927,0.179230354,8.254887955,3.958938304,4.842387428,0.092811917,0.062730824,0.130801717,0.106938145,1.479526494,0.709561915,0.867902815,2.085126698,1.704714478,1.223153042
Glycerophosphate,0.901656599,0.979052834,1.034961221,1.430040942,1.593881627,1.536367787,1.223714706,0.920947847,1.147844115,0.630511039,0.565698597,0.586875491,1.357184883,1.057104567,0.68463273,1.627983263,1.569238895,1.249896495,0.723728385,0.649333805,0.673641579,0.845753685,1.114570625,1.074352308,0.85572005,1.037434943,1.302494461,0.796498544
G3P,NA,NA,NA,0.711842331,2.007241438,NA,1.016145143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.819783752,NA,1.427486256,NA,1.975349143,NA
"2,3-DPG",0.93122664,0.589491148,0.888860675,1.020406954,2.026359227,1.705686574,1.794211083,1.579712679,0.954505204,0.912603189,0.459556543,0.545954136,1.926717949,1.507843973,0.57770201,3.437471851,2.893489715,3.043660772,0.871084493,0.438649111,0.521116064,0.49540474,1.985834396,1.671574823,1.758328945,1.188002097,1.12938731,1.051899634
3PG,0.500526163,0.432971128,0.523985995,1.14170969,1.227579732,1.132740071,1.275719692,1.15602665,1.046870341,0.438400556,0.407734137,0.441872037,2.54875726,1.210210013,0.379230493,2.835246166,2.61620232,2.946431316,0.45894854,0.426844776,0.462582731,0.410737561,1.075211801,0.992143695,1.1173766,1.083725882,0.962264469,1.126224563
2PG,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
PEP,0.578908343,0.630587711,0.737457367,1.33027543,1.698827028,1.571275177,1.767183338,0.91804571,1.273875866,0.435179309,0.340769445,0.368432183,3.052613353,1.169476274,0.474027932,2.694037637,2.491763079,2.802438592,0.55436442,0.434097972,0.469336866,0.417306655,1.27704909,1.1811653,1.32843417,1.081177284,0.961319062,1.124681
Pyruvate,0.531026222,0.574202724,0.591537321,0.562431812,0.496926362,0.562980045,0.589707305,0.92480617,1.113951245,0.944161071,1.068621556,0.943241642,1.110505058,1.030188985,1.020928603,0.865419722,0.980455198,1.02700193,1.051749401,1.190392313,1.050725202,1.003103261,0.883531748,1.000974755,1.048495645,0.88267136,0.842666111,1.047474614
Lactate,0.577013569,0.531336325,0.477986658,1.045611221,1.140956201,1.128770211,1.150602921,1.085966726,0.828380273,0.551843321,0.505728063,0.511187808,1.99406562,0.899593413,0.508158591,2.147333331,2.124398724,2.165488913,0.457136121,0.418935151,0.423457896,0.415422775,1.09118588,1.079531462,1.100411795,1.010795811,0.991615943,1.019342032
Glucosamine 6-phosphate,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
