,dTAG-13_24h vs DMSO_24h,dTAG-13_48h vs DMSO_48h,,,,,,,,,,
Compound name,ratio,ratio,,,,,,,,,,
2S-Aminobutyric acid,1.088235294,1.045045045,,,,,,,,,,
3-Methylhistidine,1.196721311,0.970588235,,,,,,,,,,
5'-Methylthioadenosine,1.05511811,1.147058824,,,,,,,,,,
AICA ribonucleotide,1.763157895,1.488888889,,,,,,,,,,
Alanine,0.973684211,0.651162791,,,,,,,,,,
Aminoadipic acid,1.272321429,1.56626506,,,,,,,,,,
Arginine,1.183206107,1.244525547,,,,,,,,,,
Argininosuccinic acid,1.107883817,0.869090909,,,,,,,,,,
Asparagine,1.070422535,0.948717949,,,,,,,,,,
Aspartic acid,1.102272727,0.941176471,,,,,,,,,,
beta-Alanine,1.166666667,0.934782609,,,,,,,,,,
Betaine,1.056074766,0.674358974,,,,,,,,,,
Carnitine,1.130434783,1.127272727,,,,,,,,,,
Carnosine,1.160493827,NA,,,,,,,,,,
Choline,1.326086957,1.357575758,,,,,,,,,,
Citrulline,0.768292683,1.255639098,,,,,,,,,,
Creatine,1.189944134,1.12244898,,,,,,,,,,
Creatine,1,0.904761905,,,,,,,,,,
Cystathionine,1.104100946,0.808571429,,,,,,,,,,
Cysteamine,1.033557047,2.296296296,,,,,,,,,,
Cystine,NA,2.076086957,,,,,,,,,,
Diethanolamine,0.892682927,0.900584795,,,,,,,,,,
Dihydrouracil,1.014423077,1.004830918,,,,,,,,,,
gamma-Aminobutyric acid,1.076923077,1.137254902,,,,,,,,,,
3-Dehydroxycarnitine,0.903030303,1.021126761,,,,,,,,,,
Glutamine,2.681564246,8.853046595,,,,,,,,,,
Glutamic acid,1.344537815,1.605839416,,,,,,,,,,
Oxidized glutathione,1.087378641,0.892241379,,,,,,,,,,
Glutathione,1.195219124,0.901515152,,,,,,,,,,
Glycine,1.044444444,0.87755102,,,,,,,,,,
sn-Glycero-3-phosphocholine,1,0.790909091,,,,,,,,,,
Histidine,1.123076923,1.149253731,,,,,,,,,,
Hydroxyproline,1.055555556,0.8775,,,,,,,,,,
Hypotaurine,1.081967213,1,,,,,,,,,,
Isoleucine,1.258928571,1.341463415,,,,,,,,,,
Indoleacetic acid,0.97029703,0.901960784,,,,,,,,,,
Leucine,1.237623762,1.436363636,,,,,,,,,,
Lysine,1.385964912,2.349514563,,,,,,,,,,
Methionine,1.135646688,1.376146789,,,,,,,,,,
Methionine sulfoxide,1.14516129,1.074074074,,,,,,,,,,
N-Acetyl-D-glucosamine,1.264,1.105769231,,,,,,,,,,
Niacinamide,1.03286385,0.958333333,,,,,,,,,,
Dimethylglycine,1.083333333,0.841121495,,,,,,,,,,
CAR 2:0,0.863501484,0.613888889,,,,,,,,,,
Ornithine,1.119815668,1.336585366,,,,,,,,,,
Phenylalanine,1.193548387,1.389728097,,,,,,,,,,
Choline phosphate,0.936507937,0.971014493,,,,,,,,,,
Proline,1.238938053,1.497326203,,,,,,,,,,
Putrescine,0.764150943,0.603960396,,,,,,,,,,
S-Adenosylmethionine,1.171875,1.183098592,,,,,,,,,,
Sarcosine,1.346704871,1.071428571,,,,,,,,,,
Serine,0.720634921,1.021186441,,,,,,,,,,
Spermidine,1.050847458,0.824175824,,,,,,,,,,
Thiamine,1.493333333,1.372093023,,,,,,,,,,
Threonine,1.155688623,1.097297297,,,,,,,,,,
Thymidine,1.093457944,1.098901099,,,,,,,,,,
Tryptophan,1.1875,1.423076923,,,,,,,,,,
Tyrosine,1.162162162,1.223684211,,,,,,,,,,
Urea,0.960526316,0.939914163,,,,,,,,,,
Valine,1.216216216,1.578947368,,,,,,,,,,
2-Hydroxyglutaric acid,1.215789474,1.240196078,,,,,,,,,,
3-Hydroxymethylglutaric acid,NA,NA,,,,,,,,,,
3-Phosphoglyceric acid,NA,NA,,,,,,,,,,
Hydrocinnamic acid,1.184782609,1.358885017,,,,,,,,,,
5-Ketocaproic acid,0.978021978,1.10041841,,,,,,,,,,
Pyroglutamic acid,0.858585859,1.108695652,,,,,,,,,,
Acetyl-CoA,0.901333333,0.921568627,,,,,,,,,,
Adenosine,1.117647059,1.171428571,,,,,,,,,,
AMP,0.992481203,1.106666667,,,,,,,,,,
ATP,1.025,0.911111111,,,,,,,,,,
Azelaic acid,0.916666667,1.107692308,,,,,,,,,,
CDP,1.051282051,1.280487805,,,,,,,,,,
cis-Aconitic acid,0.818181818,0.7734375,,,,,,,,,,
Citric acid,0.879396985,0.772020725,,,,,,,,,,
CTP,1.080645161,0.943661972,,,,,,,,,,
Dihydroxyacetone phosphate,NA,1.35021097,,,,,,,,,,
"Fructose 1,6-bisphosphate",1.10738255,1.385135135,,,,,,,,,,
Fumaric acid,1.058577406,1,,,,,,,,,,
Glucose 6-phosphate,0.786666667,0.808333333,,,,,,,,,,
GDP,1.071748879,1.142276423,,,,,,,,,,
sn-Glycero-3-phosphate,1.235294118,1.2,,,,,,,,,,
GTP,0.988095238,0.894736842,,,,,,,,,,
Caproic acid,1,0.75,,,,,,,,,,
Lactic acid,0.88125,0.948387097,,,,,,,,,,
D-Malic acid,1.108433735,1.0625,,,,,,,,,,
Malonic acid,0.806763285,0.821428571,,,,,,,,,,
N-Acetylaspartic acid,0.950819672,0.791044776,,,,,,,,,,
N-Acetylglutamic acid,1.139705882,1.017751479,,,,,,,,,,
NAD+,1.054054054,1,,,,,,,,,,
Pantothenic acid,1.135802469,0.821782178,,,,,,,,,,
Phthalic acid,0.886685552,1.02661597,,,,,,,,,,
Phosphoribosyl pyrophosphate,1.125,0.716049383,,,,,,,,,,
Ribose 5-phosphate,1.111111111,1.086956522,,,,,,,,,,
Succinic acid,0.95,1.081081081,,,,,,,,,,
Terephthalic acid,0.95,1.013888889,,,,,,,,,,
Threonic acid,0.942028986,0.937777778,,,,,,,,,,
UDP,1.153846154,1.119047619,,,,,,,,,,
UDP-glucose,0.965517241,0.841269841,,,,,,,,,,
UDP-glucuronic acid,0.74025974,0.636363636,,,,,,,,,,
UDP-N-acetylglucosamine,0.977777778,1,,,,,,,,,,
UMP,1.021978022,1.174603175,,,,,,,,,,
UTP,0.987755102,0.795774648,,,,,,,,,,
