,Condition-1 vs Control,Condition-2 vs Control,Condition-3 vs Control,Condition-2 vs Condition-1,Condition-3 vs Condition-1,Condition-3 vs Condition-2
 metabolite_name,ratio,ratio,ratio,ratio,ratio,ratio
2-AMINOETHYL DIHYDROGEN PHOSPHATE;ETHANOLAMINE PHOSPHATE,0.981928992,0.037501403,0.313194425,0.038191563,0.318958324,8.351538946
2-hydroxyglutarate,0.119443742,0.254693087,0.153062795,0.259380352,0.155879699,0.600969571
3-Aminosalicylic acid,0.059669414,0.054154536,0.056753789,0.055151173,0.057798261,1.047996947
3'-CMP,0.037500164,0.069533115,0.044012477,0.070812773,0.044822464,0.632971456
3-SULFINO-L-ALANINE,0.104042407,0.151053123,0.0967003,0.153833041,0.098479932,0.640174117
4-oxoproline,7.017444392,9.106289554,7.270551246,9.273877878,7.404355414,0.798409847
6-PHOSPHOGLUCONIC ACID,3.930623768,4.087067554,5.745635544,4.162284226,5.851375804,1.405808803
ADENINE,3.504522561,0.946115346,3.369570223,0.963527255,3.431582376,3.561479303
ADP,4.719407566,4.655127924,5.014397314,4.740798941,5.106680173,1.077177125
ASCORBIC ACID-2H,0.064098634,0.036223196,0.032325068,0.036889833,0.032919964,0.892385843
ASPARAGINE,1.850103542,2.516550208,1.911835443,2.56286374,1.947020059,0.759704868
ASPARTATE,16.83583683,26.18618153,16.68586617,26.66810101,16.99294584,0.637201195
BOC-L-Tyrosine_R1,97.93736221,98.26338539,97.61133903,100.0717834,99.40773707,0.9933643
BOC-L-Tyrosine_R2,67.81934117,69.44293659,69.05170878,70.72093519,70.32250739,0.994366197
C12H22O11-DISACCHARIDE-(6C/6C; GLC-GLC/GLC-FRC/GAL-GLC),2.859319239,1.95492847,0.472412147,1.990906151,0.481106222,0.241651884
C5-SUGAR ALCOHOL,0.050863332,0.033319764,0.05929214,0.033932967,0.060383327,1.779488574
C6H12O6-HEXOSE/KETOSE/INOSITOL,1.453016181,1.485533211,1.496731194,1.512872339,1.524276405,1.007538023
CARNOSINE,0.063117761,0.1153247,0.073803171,0.117447087,0.075161413,0.639959789
CITRATE,4.027405443,6.727632349,5.032851139,6.851444865,5.125473614,0.74808653
CMP,2.787495616,1.945741984,2.86266365,1.981550601,2.915346908,1.471245249
CREATINE,3.790776257,6.221295208,4.086883938,6.335789309,4.162097231,0.656918503
Creatine-D3,1.427243722,1.277851361,1.713116297,1.3013684,1.744643769,1.340622508
Cyclic ADP-ribose,0.146474193,0.192140977,0.149124696,0.195677058,0.151869124,0.776121257
CYS-GLY,0.25596197,0.544472724,0.250885332,0.554492971,0.25550252,0.46078586
CYTIDINE,0.048215633,0.684328581,0.042094939,0.696922676,0.042869636,0.061512759
D-GLUCURONIC ACID/D-GLUCURONOLACTONE/D-(+)-GALACTURONIC ACID_R1,0.473083298,0.591971497,0.436437902,0.602865891,0.444469922,0.737261683
D-GLUCURONIC ACID/D-GLUCURONOLACTONE/D-(+)-GALACTURONIC ACID_R2,0.019079463,0.016683714,0.017878003,0.016990754,0.018207022,1.071584065
DIHYDROXYACETONE PHOSPHATE,2.58563628,5.034061858,3.394807677,5.126706616,3.45728429,0.674367493
DISACCHARIDE (6C/6C)/2-alpha-D-glucosyl-D-glucose,0.8322704,1.492200971,0.603449664,1.519662811,0.614555298,0.404402407
Docosahexanoic Acid,0.00980306,0.025401248,0.017099394,0.025868722,0.017414084,0.673171408
D-RIBOSE 5-PHOSPHATE/RIBULOSE 5-PHOSPHATE,12.32322146,8.99789552,14.83405453,9.163489006,15.10705423,1.648613778
D-SACCHARIC ACID,0.10422987,0.10723437,0.065515205,0.109207866,0.066720919,0.610953422
Fumaric Acid,0.194323441,0.607114817,0.261872444,0.618287903,0.266691834,0.43133924
GLUCONIC ACID/D-GULONIC ACID GAMA-LACTONE,5.94854148,2.174463478,7.123786175,2.21448139,7.25488934,3.276112129
GLUCOSE/FRUCTOSE_R1,12.96115088,27.07948504,16.85894894,27.57784449,17.16921395,0.622572731
GLUCOSE/FRUCTOSE_R2,4.229461436,9.30288316,5.493420754,9.474089509,5.59451936,0.590507336
GLUTATHIONE,33.26740493,40.62900825,37.31661278,41.37672743,38.00337203,0.918472155
GLYCERIC ACID,2.140251193,1.22533144,1.613696051,1.247881925,1.643393835,1.316946581
GLYCEROL 2-PHOSPHATE/SN-GLYCEROL 3-PHOSPHATE,6.576910465,1.613821179,4.515970082,1.643521265,4.599080097,2.798308847
GLYCOLATE,0.334500822,0.273237481,0.287378736,0.278266029,0.292667534,1.051754449
Guanosine,0.505033309,0.492888489,0.395520233,0.501959402,0.402799221,0.802453784
HOMOCYSTEINE,0.014538873,0.01741029,0.014864114,0.017730701,0.015137667,0.853754541
INDOLE-3-ACETATE,0.029796432,0.003445152,0.032127302,0.003508555,0.032718559,9.325365281
ISOCITRIC ACID,0.379261457,0.613808007,0.452428687,0.625104272,0.460754994,0.737085019
LACTATE,61.1815093,90.60184074,67.09556972,92.26923892,68.33036837,0.740554156
LACTATE-dimer,7.681067045,8.933035035,7.467566921,9.097434855,7.604996882,0.835949584
