,Weight Stable_Female vs Control_Female,Weight Stable_Male vs Control_Male
 metabolite_name,ratio,ratio
Histidine,0.534864416,0.836641221
Hydroxyproline,0.936229205,0.690630048
1-Methylhistidine,3.174528302,0.98540146
3-Methylhistidine,0.533464567,0.523131673
Asparagine,0.882370283,0.899307405
Phosphoethanolamine,0.368613139,1.277777778
Arginine,1.194980695,0.814448111
Carnosine,NA,NA
Taurine,0.718515245,1.525499796
Anserine,NA,NA
Serine,0.812036274,1.072727273
Glutamine,0.969304776,0.765302852
Ethanolamine,0.829457364,1.30952381
Glycine,0.768774962,0.907600184
Aspartic Acid,0.796536797,1.349673203
Sarcosine,0.881578947,1.328125
Citrulline,1.020782396,0.80945122
Glutamic Acid,0.875031977,1.660498793
beta-Alanine,0.9,0.897321429
Threonine,0.930063913,0.79718661
Alanine,0.787003367,0.854309584
gamma-Amino-N-butyric-acid,0.472727273,0.7125
alpha-Aminoadipic-acid,0.513513514,0.8
beta-Aminoisobutyric-acid,1.102739726,0.722222222
Proline,0.919583222,0.776757035
Hydroxylysine,NA,NA
Hydroxylysine,0.862068966,0.839285714
alpha-Amino-N-butyric-acid,0.916447368,1.026864035
Ornithine,0.687465565,0.85090565
Cystathionine,0.454545455,0.857142857
Cystathionine,NA,NA
Lysine,0.874587894,1.008002001
Cystine,1.011005503,0.789959478
Tyrosine,0.830209241,0.954842033
Methionine,0.815789474,0.852466368
Valine,0.854391966,0.977936639
Isoleucine,1.025091799,1.002257336
allo-Isoleucine,1.084615385,0.888888889
Homocystine,NA,NA
Leucine,0.834587252,0.962895598
Phenylalanine,0.758178054,0.925561245
Tryptophan,0.752298851,1.043415756
