,Cells_IV Treatment 1 vs Cells_IV Control,Cells_IV Treatment 2 vs Cells_IV Control,Cells_IV Treatment 2 vs Cells_IV Treatment 1,Cells_XVII Treatment 1 vs Cells_XVII Control,Cells_XVII Treatment 2 vs Cells_XVII Control,Cells_XVII Treatment 2 vs Cells_XVII Treatment 1,Media_IV Treatment 1 vs Media_IV Control,Media_IV Treatment 2 vs Media_IV Control,Media_IV Treatment 2 vs Media_IV Treatment 1,Media_XVII Treatment 1 vs Media_XVII Control,Media_XVII Treatment 2 vs Media_XVII Control,Media_XVII Treatment 2 vs Media_XVII Treatment 1
 metabolite_name,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio
Lactate,0.611686,0.687435,1.123838,1.047913,0.365409,0.348702,0.860189,0.660327,0.767653,1.051233,0.168741,0.160518
Succinate,0.003206,0.006541,2.040323,0.727463,3.731656,5.129683,0.493528,23.598706,47.816393,0.373642,6.128359,16.401683
Fumarate,0.006825,0.013754,2.015152,0.357751,0.555366,1.552381,0.346429,1.172321,3.384021,0.440569,0.389324,0.883683
Oxaloacetate,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ketoglutarate,0.000918,0.002746,2.991549,0.216230,75.835725,350.718535,1.070175,1602.912281,1497.803279,0.342105,223.497076,653.299145
Malate,0.010548,0.045424,4.306373,0.168459,0.823861,4.890578,0.236486,1.429054,6.042857,0.352518,0.354916,1.006803
Aspartate,0.012927,0.046536,3.600000,0.154639,0.054124,0.350000,0.006829,0.034145,5.000000,0.652174,0.782609,1.200000
2-Hydroxyglutarate,0.002172,0.002084,0.959524,0.892958,28.650704,32.085174,1.000000,12.066667,12.066667,0.598361,45.237705,75.602740
Glutamate,0.076267,0.285936,3.749153,0.074085,0.547769,7.393822,0.007183,0.211846,29.491228,0.132184,63.298851,478.869565
cis-Aconitic Acid,0.000331,0.000693,2.093750,0.493976,1.248996,2.528455,0.256226,0.414499,1.617711,0.910970,0.241123,0.264689
Citrate,0.015512,0.030248,1.950000,0.491228,1.078947,2.196429,0.820433,1.379257,1.681132,0.632410,0.316782,0.500913
Isocitrate,0.000517,0.001034,2.000000,0.333333,1.333333,4.000000,0.421053,0.881579,2.093750,0.691860,0.505814,0.731092
