,Nucleus fraction_IV GF vs Nucleus fraction_IV REG,Nucleus fraction_IV aKG vs Nucleus fraction_IV REG,Nucleus fraction_XVII REG vs Nucleus fraction_IV REG,Nucleus fraction_XVII GF vs Nucleus fraction_IV REG,Nucleus fraction_XVII aKG vs Nucleus fraction_IV REG,Mito Fraction_IV REG vs Nucleus fraction_IV REG,Mito Fraction_IV GF vs Nucleus fraction_IV REG,Mito Fraction_IV aKG vs Nucleus fraction_IV REG,Mito Fraction_XVII REG vs Nucleus fraction_IV REG,Mito Fraction_XVII GF vs Nucleus fraction_IV REG,Mito Fraction_XVII aKG vs Nucleus fraction_IV REG,Nucleus fraction_IV aKG vs Nucleus fraction_IV GF,Nucleus fraction_XVII REG vs Nucleus fraction_IV GF,Nucleus fraction_XVII GF vs Nucleus fraction_IV GF,Nucleus fraction_XVII aKG vs Nucleus fraction_IV GF,Mito Fraction_IV REG vs Nucleus fraction_IV GF,Mito Fraction_IV GF vs Nucleus fraction_IV GF,Mito Fraction_IV aKG vs Nucleus fraction_IV GF,Mito Fraction_XVII REG vs Nucleus fraction_IV GF,Mito Fraction_XVII GF vs Nucleus fraction_IV GF,Mito Fraction_XVII aKG vs Nucleus fraction_IV GF,Nucleus fraction_XVII REG vs Nucleus fraction_IV aKG,Nucleus fraction_XVII GF vs Nucleus fraction_IV aKG,Nucleus fraction_XVII aKG vs Nucleus fraction_IV aKG,Mito Fraction_IV REG vs Nucleus fraction_IV aKG,Mito Fraction_IV GF vs Nucleus fraction_IV aKG,Mito Fraction_IV aKG vs Nucleus fraction_IV aKG,Mito Fraction_XVII REG vs Nucleus fraction_IV aKG,Mito Fraction_XVII GF vs Nucleus fraction_IV aKG,Mito Fraction_XVII aKG vs Nucleus fraction_IV aKG,Nucleus fraction_XVII GF vs Nucleus fraction_XVII REG,Nucleus fraction_XVII aKG vs Nucleus fraction_XVII REG,Mito Fraction_IV REG vs Nucleus fraction_XVII REG,Mito Fraction_IV GF vs Nucleus fraction_XVII REG,Mito Fraction_IV aKG vs Nucleus fraction_XVII REG,Mito Fraction_XVII REG vs Nucleus fraction_XVII REG,Mito Fraction_XVII GF vs Nucleus fraction_XVII REG,Mito Fraction_XVII aKG vs Nucleus fraction_XVII REG,Nucleus fraction_XVII aKG vs Nucleus fraction_XVII GF,Mito Fraction_IV REG vs Nucleus fraction_XVII GF,Mito Fraction_IV GF vs Nucleus fraction_XVII GF,Mito Fraction_IV aKG vs Nucleus fraction_XVII GF,Mito Fraction_XVII REG vs Nucleus fraction_XVII GF,Mito Fraction_XVII GF vs Nucleus fraction_XVII GF,Mito Fraction_XVII aKG vs Nucleus fraction_XVII GF,Mito Fraction_IV REG vs Nucleus fraction_XVII aKG,Mito Fraction_IV GF vs Nucleus fraction_XVII aKG,Mito Fraction_IV aKG vs Nucleus fraction_XVII aKG,Mito Fraction_XVII REG vs Nucleus fraction_XVII aKG,Mito Fraction_XVII GF vs Nucleus fraction_XVII aKG,Mito Fraction_XVII aKG vs Nucleus fraction_XVII aKG,Mito Fraction_IV GF vs Mito Fraction_IV REG,Mito Fraction_IV aKG vs Mito Fraction_IV REG,Mito Fraction_XVII REG vs Mito Fraction_IV REG,Mito Fraction_XVII GF vs Mito Fraction_IV REG,Mito Fraction_XVII aKG vs Mito Fraction_IV REG,Mito Fraction_IV aKG vs Mito Fraction_IV GF,Mito Fraction_XVII REG vs Mito Fraction_IV GF,Mito Fraction_XVII GF vs Mito Fraction_IV GF,Mito Fraction_XVII aKG vs Mito Fraction_IV GF,Mito Fraction_XVII REG vs Mito Fraction_IV aKG,Mito Fraction_XVII GF vs Mito Fraction_IV aKG,Mito Fraction_XVII aKG vs Mito Fraction_IV aKG,Mito Fraction_XVII GF vs Mito Fraction_XVII REG,Mito Fraction_XVII aKG vs Mito Fraction_XVII REG,Mito Fraction_XVII aKG vs Mito Fraction_XVII GF
Compound name,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio
Lactate,0.973948,1.575151,2.713427,1.691383,2.372746,0.757515,1.436874,1.541082,1.446894,1.983968,2.116233,1.617284,2.786008,1.736625,2.436214,0.777778,1.475309,1.582304,1.485597,2.037037,2.172840,1.722646,1.073791,1.506361,0.480916,0.912214,0.978371,0.918575,1.259542,1.343511,0.623338,0.874446,0.279173,0.529542,0.567947,0.533235,0.731167,0.779911,1.402844,0.447867,0.849526,0.911137,0.855450,1.172986,1.251185,0.319257,0.605574,0.649493,0.609797,0.836149,0.891892,1.896825,2.034391,1.910053,2.619048,2.793651,1.072524,1.006974,1.380753,1.472803,0.938882,1.287386,1.373212,1.371191,1.462604,1.066667
Succinate,0.287355,0.505748,1.321838,0.298852,0.229886,0.425286,0.137931,0.229886,0.643679,0.241379,0.172414,1.760011,4.600014,1.040008,0.800007,1.480002,0.480002,0.800007,2.240013,0.840003,0.600002,2.613628,0.590910,0.454547,0.840905,0.272727,0.454547,1.272727,0.477272,0.340908,0.226088,0.173914,0.321739,0.104348,0.173914,0.486958,0.182609,0.130435,0.769232,1.423068,0.461537,0.769232,2.153842,0.807689,0.576921,1.849986,0.599997,1.000000,2.799991,1.049995,0.749996,0.324325,0.540545,1.513520,0.567569,0.405407,1.666675,4.666675,1.750000,1.250000,2.799991,1.049995,0.749996,0.374999,0.267857,0.714286
Fumarate,0.290590,0.376077,0.000000,0.000000,1.222231,0.743590,1.213667,0.444436,0.341872,2.957256,0.000000,1.294185,0.000000,0.000000,4.206035,2.558899,4.176564,1.529427,1.176476,10.176740,0.000000,0.000000,0.000000,3.249949,1.977228,3.227177,1.181769,0.909048,7.863435,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.608387,0.992993,0.363627,0.279711,2.419557,0.000000,1.632172,0.597690,0.459759,3.977000,0.000000,0.366193,0.281685,2.436630,0.000000,0.769226,6.653955,0.000000,8.650191,0.000000,0.000000
Oxaloacetate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ketoglutarate,1.029471,3.294185,1.352952,0.823524,2.411806,0.705903,0.529427,0.764758,0.911762,0.676520,2.029471,3.199880,1.314220,0.799949,2.342762,0.685695,0.514271,0.742864,0.885660,0.657153,1.971372,0.410709,0.249993,0.732140,0.214288,0.160716,0.232154,0.276779,0.205368,0.616077,0.608687,1.782626,0.521750,0.391313,0.565251,0.673906,0.500033,1.500033,2.928640,0.857173,0.642880,0.928640,1.107147,0.821494,2.464374,0.292686,0.219515,0.317089,0.378041,0.280503,0.841474,0.750000,1.083375,1.291625,0.958375,2.875000,1.444500,1.722167,1.277833,3.833333,1.192223,0.884620,2.653744,0.741992,2.225878,2.999870
Malate,0.462355,0.741935,1.526871,0.569903,0.784935,1.043000,0.612903,0.946226,3.247323,0.440871,0.333323,1.604688,3.302379,1.232610,1.697691,2.255843,1.325612,2.046536,7.023442,0.953534,0.720924,2.057957,0.768130,1.057957,1.405783,0.826087,1.275348,4.376826,0.594217,0.449261,0.373249,0.514081,0.683096,0.401411,0.619716,2.126783,0.288741,0.218304,1.377314,1.830135,1.075451,1.660327,5.698025,0.773589,0.584876,1.328772,0.780833,1.205482,4.137057,0.561665,0.424650,0.587635,0.907216,3.113444,0.422695,0.319581,1.543842,5.298263,0.719316,0.543842,3.431869,0.465926,0.352265,0.135764,0.102645,0.756055
Aspartate,0.248396,0.349034,1.710915,0.475374,0.241972,0.869375,0.229124,0.162738,1.877938,0.488222,0.177732,1.405152,6.887863,1.913777,0.974138,3.499961,0.922414,0.655158,7.560271,1.965500,0.715520,4.901864,1.361972,0.693262,2.490807,0.656452,0.466254,5.380395,1.398782,0.509212,0.277848,0.141428,0.508135,0.133919,0.095118,1.097622,0.285357,0.103881,0.509014,1.828824,0.481986,0.342338,3.950446,1.027027,0.373878,3.592880,0.946903,0.672552,7.760984,2.017681,0.734516,0.263550,0.187190,2.160101,0.561578,0.204436,0.710264,8.196176,2.130821,0.775703,11.539612,3.000039,1.092133,0.259977,0.094642,0.364039
2-Hydroxyglutarate,0.000000,0.374953,1.124859,0.250094,4.499438,0.124859,0.499813,0.749906,0.000000,0.499813,2.624672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.000000,0.667000,12.000000,0.333000,1.333000,2.000000,0.000000,1.333000,7.000000,0.222333,4.000000,0.111000,0.444333,0.666667,0.000000,0.444333,2.333333,17.991004,0.499250,1.998501,2.998501,0.000000,1.998501,10.494753,0.027750,0.111083,0.166667,0.000000,0.111083,0.583333,4.003003,6.006006,0.000000,4.003003,21.021021,1.500375,0.000000,1.000000,5.251313,0.000000,0.666500,3.500000,NA,NA,5.251313
Glutamate,0.591639,0.755626,1.527330,0.466237,0.443730,1.295819,0.906752,0.430868,0.871382,0.704180,0.581993,1.277174,2.581523,0.788043,0.750000,2.190218,1.532610,0.728262,1.472826,1.190218,0.983696,2.021277,0.617021,0.587234,1.714894,1.200001,0.570213,1.153192,0.931915,0.770213,0.305263,0.290526,0.848421,0.593684,0.282106,0.570526,0.461053,0.381053,0.951725,2.779312,1.944829,0.924139,1.868966,1.510346,1.248276,2.920289,2.043478,0.971015,1.963767,1.586957,1.311593,0.699752,0.332507,0.672456,0.543424,0.449131,0.475178,0.960993,0.776596,0.641844,2.022386,1.634327,1.350745,0.808118,0.667897,0.826484
