,Sample vs Control
 metabolite_name,ratio
Xanthosine,0.437287
Uridine 5'-diphosphoglucuronic acid,0.852741
Uridine,1.680407
Uracil,0.097316
Thymine,0.741184
Thymidine,1.5314
Thiazolidine-4-carboxylic acid,1.25804
Taurine,0.886682
Sulfamethoxazole,1.379943
Sorbitol-6-phosphate,2.045471
Retinoic acid,1.46056
Repaglinide,2.128821
Pseudouridine,0.476872
Phosphorylcholine,1.28906
Phosphatidylinositol,0.800729
PHENATURIC ACID,1.150698
Pantothenate,2.116798
Palmitic acid,0.838156
Orotate,0.050876
O-Phosphoethanolamine,0.903749
Oleic acid,0.79329
Nervonic acid,0.755875
N-carbamoyl-L-aspartate,0.083413
N-ACETYL-L-LEUCINE,1.305758
N-Acetyl-L-aspartic acid,1.140003
N-Acetylaspartylglutamate,1.207518
Myristoleic acid,0.920725
myo-Inositol,0.891736
L-Valine,1.275127
Lumichrome,0.722092
L-Tyrosine,1.411565
L-Pyroglutamic acid,1.221486
L-Phenylalanine,1.361891
L-Methionine,1.390018
L-Leucine,1.340913
L-Aspartate,0.655024
Lamivudine,1.074106
Kynurenine,1.587812
Hypoxanthine,1.346782
His,1.179516
Hippuric acid,1.437016
Guanosine,1.481217
Ginsenoside Rg3,2.831049
Ginsenoside Re,2.05226
Erucic acid,0.708594
Eicosapentaenoic acid,1.267815
D-Proline,1.4435
Dodecanoic acid,1.175352
Docosatrienoic Acid,0.75234
D-Mannose,1.842262
Dihydrozeatin,0.507039
Dihomo-gamma-Linolenic Acid,0.86749
"D-Fructose 1,6-bisphosphate",0.893268
D-Fructose,2.006878
Cytidine monophosphate N-acetylneuraminic acid,0.881428
Cytidine 5'-diphosphocholine,0.836626
Creatine,0.815115
Beta-D-Fructose 6-phosphate,0.723234
Baicalin,1.137073
Adenosine monophosphate,1.222335
Adenine,0.756956
4-Hydroxyglucobrassicin,0.864201
3-Methyluridine,0.103161
3-Chlorotyrosine,1.007415
2-Oxoadipic acid,1.106406
2-OXOADIPATE,0.509355
2E-Eicosenoic acid,0.707414
2-Deoxyuridine,1.445582
2'-Deoxyinosine,1.845064
1-Palmitoyl-2-oleoyl-phosphatidylglycerol,0.740845
"1H-Isoindole-1,3(2H)-dione",1.151113
"12,13-EODE",1.330056
