,Day 90 vs Baseline
 metabolite_name,ratio
Deoxycholic acid,1.102512
Cholic acid,0.583164
Glycochenodeoxycholic acid,0.931003
Glycodeoxycholic acid,1.811337
Glycohyodeoxycholic acid,1.256890
Glycoursodeoxycholic acid,1.134651
Glychocholic acid,1.009191
Glycohyocholic acid,0.841631
Taurolithocolic acid,0.996963
Tauroursodeoxycholic acid,0.946083
Taurochenodeoxycholic acid,0.901060
Taurodeoxycholic acid,1.033793
Tauro-hyodeoxycholic acid,1.068754
Taurocholic acid,0.962768
Tauro-alpha-muricholic acidTauro-beta-muricholic acid,1.007708
"3a,7a,12a-trihydroxycholestanoic acid",0.994463
