,vehicle_60 min vs vehicle_20 min,wnt_20 min vs vehicle_20 min,wnt_60 min vs vehicle_20 min,wnt_20 min vs vehicle_60 min,wnt_60 min vs vehicle_60 min,wnt_60 min vs wnt_20 min
 metabolite_name,ratio,ratio,ratio,ratio,ratio,ratio
triflate,1.100168,1.023990,1.126263,0.930757,1.023718,1.099877
lactate,1.274567,1.568270,2.053221,1.230434,1.610917,1.309227
fumarate,0.922686,1.046646,1.030093,1.134347,1.116407,0.984184
succinate,1.333343,1.173799,1.479656,0.880343,1.109733,1.260570
taurine,1.068812,0.922365,1.036880,0.862982,0.970124,1.124153
L-aspartic acid,0.647531,0.933485,0.584126,1.441607,0.902081,0.625747
malate,0.865823,1.062960,0.991228,1.227688,1.144839,0.932517
phosphorylethanolamine,1.691151,1.242624,1.638194,0.734780,0.968685,1.318334
L-glutamine,1.091911,1.142233,1.366779,1.046086,1.251731,1.196586
L-glutamic acid,0.974820,0.988205,0.961401,1.013731,0.986235,0.972876
hydroxyglutaric acid,1.331791,2.911715,3.264615,2.186316,2.451297,1.121200
L-methionine,1.150483,1.178956,1.509377,1.024749,1.311951,1.280266
L-histidine,1.158312,1.160728,1.464605,1.002086,1.264431,1.261799
uric acid,1.446659,1.888222,2.689357,1.305230,1.859013,1.424280
fructose,1.160979,1.488610,1.921593,1.282202,1.655148,1.290864
glucose,1.254061,1.476962,1.912898,1.177743,1.525363,1.295157
L-tyrosine,1.114149,1.186166,1.419759,1.064638,1.274299,1.196932
sorbitol / mannitol,1.188490,1.381217,1.765867,1.162161,1.485807,1.278487
L-homocysteic acid,1.136353,1.130831,1.306893,0.995141,1.150077,1.155693
phospho-serine,1.286326,0.904161,1.564364,0.702902,1.216149,1.730182
3-phosphogylcerate/2-phosphogylcerate,1.300136,1.032698,1.620658,0.794300,1.246529,1.569343
citrate/isocitrate,1.174696,1.440588,1.812088,1.226350,1.542602,1.257881
L-tryptophan,1.117072,1.191397,1.444325,1.066536,1.292956,1.212295
phosphocreatine,1.117693,0.953500,1.120795,0.853096,1.002775,1.175453
hexose-phosphate,0.893721,1.062005,0.923930,1.188296,1.033801,0.869986
6-phosphogluconic-acid,0.924206,0.954703,0.931177,1.032998,1.007542,0.975357
stearic-acid,0.900952,1.235676,1.190684,1.371522,1.321584,0.963589
sedoheptulose-7-phosphate,0.956317,0.767898,1.052397,0.802974,1.100469,1.370492
AMP,0.690099,0.998743,0.844411,1.447246,1.223608,0.845473
CDP,1.029914,1.532373,1.303644,1.487866,1.265780,0.850735
ADP,0.989618,1.162551,1.247794,1.174747,1.260884,1.073324
folic acid,1.107743,2.291688,2.684352,2.068791,2.423262,1.171343
CTP,1.122485,0.873694,0.992838,0.778357,0.884500,1.136369
UTP,0.933434,0.859463,0.905886,0.920754,0.970488,1.054014
UDP-N-acetyl-glucosamine,0.759085,0.897295,0.812659,1.182075,1.070577,0.905677
dihydroxyacetone-phosphate,0.583663,0.617650,1.930360,1.058231,3.307321,3.125328
ribose-5-phosphate,NA,NA,NA,0.993464,0.244410,0.246018
glycine,1.045479,1.014216,1.168210,0.970096,1.117392,1.151836
choline,1.240314,1.459160,1.966407,1.176444,1.585410,1.347629
L-serine,1.118207,1.104703,1.342980,0.987924,1.201012,1.215692
hypotaurine,1.020049,0.825629,0.919827,0.809401,0.901748,1.114093
creatinine,0.942169,1.467907,1.252346,1.558008,1.329216,0.853151
L-proline,1.038724,0.957171,1.042661,0.921488,1.003790,1.089315
L-valine,1.123852,1.166149,1.394977,1.037635,1.241246,1.196226
L-threonine,1.094069,1.106397,1.313487,1.011268,1.200553,1.187176
hydroxyproline,1.078640,1.093125,1.284915,1.013429,1.191236,1.175451
L-leucine/ L-isoleucine,1.172513,1.157637,1.392155,0.987312,1.187326,1.202584
L-asparagine,0.724027,0.891786,0.716382,1.231704,0.989441,0.803311
ornithine,1.168716,1.426107,1.791119,1.220234,1.532553,1.255950
L-lysine,1.267223,1.568802,2.023637,1.237984,1.596907,1.289925
carnitine,0.916622,0.971138,0.900488,1.059475,0.982398,0.927250
pyridoxine,1.256288,1.739661,2.069299,1.384763,1.647153,1.189484
methyl-histidine,1.167975,1.271182,1.519778,1.088364,1.301207,1.195563
L-arginine,1.278456,1.557048,2.040818,1.217913,1.596315,1.310697
citrulline,1.119098,1.308132,1.539242,1.168916,1.375431,1.176672
phospho-choline,1.028120,0.978307,1.034103,0.951550,1.005820,1.057034
acetyl-carnitine,1.101092,1.065938,1.154272,0.968073,1.048297,1.082871
propionyl-carnitine,1.457018,1.113166,1.655060,0.764003,1.135922,1.486804
cystathionine,0.952055,0.835833,0.813395,0.877925,0.854358,0.973156
glycero-phospho-choline,1.052102,0.964241,1.074085,0.916490,1.020894,1.113917
5'-methylthioadenosine,1.264237,1.069885,1.140983,0.846269,0.902507,1.066454
GSH,1.121250,0.899801,0.883811,0.802499,0.788238,0.982229
S-adenosyl-methionine,1.496994,0.927581,1.374206,0.619629,0.917977,1.481493
GSSH,0.961977,0.921510,1.078610,0.957933,1.121242,1.170481
NAD+,1.055238,0.927035,1.027025,0.878508,0.973264,1.107860
L-kynurenine,NA,NA,NA,0.661639,0.940222,1.421049
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
