,Compound name,Compound name_ori,Ratio,Tumor vs Normal_p.value
2,Dihydroxyacetone,"1,3-dihydroxyacetone",1.3329,0.0613976793 
3,"1,5-anhydro-D-glucitol","1,5-anhydroglucitol",0.9926,0.8902131237 
7,15-methylpalmitate,15-methylpalmitate,1.371,0.0000000000 
8,16-Hydroxypalmitate,16-hydroxypalmitate,0.74,0.0309602921 
11,1-arachidonoylglycerophosphoinositol,1-arachidonoylglycerophosphoinositol,0.5469,0.0000000000 
14,1-heptadecanoylglycerophosphocholine,1-heptadecanoylglycerophosphocholine,0.3185,0.0000000146 
16,1-linoleoylglycerol,1-linoleoylglycerol,1.7685,0.0000029783 
17,1-linoleoylglycerophosphocholine,1-linoleoylglycerophosphocholine,0.619,0.0001631765 
22,1-oleoylglycerol,1-oleoylglycerol,1.6995,0.0000107882 
23,1-oleoylglycerophosphocholine,1-oleoylglycerophosphocholine,0.2853,0.0000000000 
24,1-oleoylglycerophosphoethanolamine,1-oleoylglycerophosphoethanolamine,0.0512,0.0000000000 
25,1-oleoylglycerophosphoinositol,1-oleoylglycerophosphoinositol,0.3576,0.0000000000 
29,1-palmitoylglycerol,1-palmitoylglycerol,0.7969,0.0061701986 
30,1-palmitoylglycerophosphocholine,1-palmitoylglycerophosphocholine,0.3428,0.0000000000 
32,1-palmitoylglycerophosphoinositol,1-palmitoylglycerophosphoinositol,0.2214,0.0000000000 
35,1-stearoylglycerol,1-stearoylglycerol,0.6235,0.0000000018 
36,1-stearoylglycerophosphocholine,1-stearoylglycerophosphocholine,0.3614,0.0000001883 
37,1-stearoylglycerophosphoethanolamine,1-stearoylglycerophosphoethanolamine,0.1087,0.0000000000 
38,1-stearoylglycerophosphoinositol,1-stearoylglycerophosphoinositol,0.2983,0.0000000000 
39,L-2-Aminoadipate,2-aminoadipate,4.6926,0.0000000000 
40,2-aminobutyrate,2-aminobutyrate,1.3568,0.0000004250 
43,2'-deoxyadenosine 3'-monophosphate,2'-deoxyadenosine 3'-monophosphate,1.1566,0.1318146057 
44,2'-deoxycytidine 3'-monophosphate,2'-deoxycytidine 3'-monophosphate,1.583,0.2225347377 
45,Deoxyguanosine,2'-deoxyguanosine,1.2025,0.1393846987 
46,Deoxyinosine,2'-deoxyinosine,1.3738,0.0974172573 
52,2-ethylhexanoate,2-ethylhexanoate,0.9456,0.5784413415 
53,2-hydroxyacetaminophen sulfate,2-hydroxyacetaminophen sulfate,,
54,2-hydroxybutyrate,2-hydroxybutyrate,1.0538,0.4050520077 
55,2-hydroxyglutarate,2-hydroxyglutarate,6.1632,0.0000000002 
56,salicylate,2-hydroxyhippurate,0.469,0.1887822137 
57,2-hydroxyisobutyrate,2-hydroxyisobutyrate,0.5713,0.0000000015 
58,2-hydroxypalmitate,2-hydroxypalmitate,1.3833,0.0747562671 
59,2-isopropylmalate,2-isopropylmalate,0.7523,0.0728464548 
